#Merged Table B's.
#T1,T2,topic,notes,original

#Table B1 A & C
A,C,analysis/cyclone,
O,F,sea/ice/thickness,,Ice thickness
O,G,sea/ice/drift,,Ice drift
O,H,sea/ice/growth,,Ice growth
O,I,sea/ice,,Ice convergence/divergence
O,Q,sea/temperature,,Temperature anomaly
O,R,sea/deep,,Depth anomaly
O,S,sea/salinity,,Salinity
O,T,sea/termperature,,Temperature
O,U,sea/current,,Current component
O,V,sea/current,,Current component
O,W,sea/warming,,Temperature warming
O,X,sea,,Mixed data

#Table B6: pictorial...
PQ,A,observation/cloud/radar,,Radar data
PQ,B,observation/cloud,,Cloud
PQ,C,observation/cloud/turbulence,,Clear air turbulence
PQ,D,observation/cloud/thickness,,Thickness (relative topography)
PQ,E,observation/cloud/precip,,Precipitation
PQ,F,observation/cloud/ash,,Aerological diagrams (Ash Cloud)
PQ,G,alerts/cloud/,,Significant weather
PQ,H,observation/cloud/height,,Height
PQ,I,observation/sea/ice,,Ice flow
PQ,J,observation/sea/wave,,Wave height + combinations
PQ,K,observation/sea/wave,,Swell height + combinations
PQ,L,observation/sea/wave,,Plain language
PQ,M,observation/national,,For national use
PQ,N,observation/radiation,,Radiation
PQ,O,observation/cloud/velocity/vertical,,Vertical velocity
PQ,P,observation/pressure,,Pressure
PQ,Q,observation/wetbulb,,Wet bulb potential temperature
PQ,R,observation/,,Relative humidity
PQ,S,observation/land/snow/cover,,Snow cover
PQ,T,observation/land/temperature,,Temperature
PQ,U,observation/wind/east,,Eastward wind component
PQ,V,observation/wind/north,,Northward wind component
PQ,W,observation/wind,,Wind
PQ,X,observation/lifted,,Lifted index
PQ,Y,observation/,,Observational plotted chart

#Table B1, S,T,U,W
S,A,observation/land,,Aviation routine reports,FM 15 (METAR)
S,B,observation/radar,,Radar reports (Part A),FM 20 (RADOB)
S,C,observation/radar,,Radar reports (Part B),FM 20 (RADOB)
S,D,observation/radar,,Radar reports (Parts A & B),FM 20 (RADOB)
S,E,observation/land/seismic,,Seismic data,*(SEISMIC)
S,F,observation/land/,,Atmospherics reports,FM 81 (SFAZI)/FM 82 (SFLOC)/FM 83 (SFAZU)
S,G,observation/radiation,,Radiological data report,FM 22 (RADREP)
S,I,observation/land,,Intermediate synoptic hour,FM 12 (SYNOP)/FM 13 (SHIP)
S,L,observation,,-,-
S,M,observation/land,,Main synoptic hour,FM 12 (SYNOP)/FM 13 (SHIP)
S,N,observation/land,,Non-standard synoptic hour,FM 12 (SYNOP)/FM 13 (SHIP)
S,O,observation/sea,,Oceanographic data,FM 63 (BATHY)/FM 64 (TESAC)/FM 62 (TRACKOB)
S,P,observation/land,,Special aviation weather reports,FM 16 (SPECI)
S,R,observation/water,,Hydrological (river) reports,FM 67 (HYDRA)
S,S,observation/sea/buoy,,Drifting buoy reports,FM 18 (BUOY)
S,T,observation/sea/ice,,Sea Ice,[TEXT]
S,U,observation/land/snow/deep,,Snow depth,[TEXT]
S,V,observation/water/ice,,Lake ice,[TEXT]
S,W,observation/sea/wave,,Wave information,FM 65 (WAVEOB)
S,X,observation,,Miscellaneous,[TEXT]
S,Y,seismic,,Seismic wave form data,[any format]
S,Z,observation/sea/tsunami,Sea level data and deep-ocean tsunami data,[any alphanumeric format]
T,B,satellite/orbit,,Satellite orbit parameters,[TEXT]
T,C,satellite/cloud,,Satellite cloud interpretations,FM 85 (SAREP)
T,H,satellite/soundings/air/upper,,Satellite remote upper air soundings,FM 86 (SATEM)
T,R,satellite/radiance,,Clear radiance observations,FM 87 (SARAD)
T,T,sea/surface/temperature,,Sea surface temperatures,FM 88 (SATOB)
T,W,satellite/winds/,,Winds and cloud temperatures,FM 88 (SATOB)
T,X,miscellaneous,,Miscellaneous,[TEXT]
U,A,air/aircraft,,Aircraft reports,FM 41 (CODAR), ICAO (AIREP)
U,D,air/aircraft,,Aircraft reports,FM 42 (AMDAR)
U,E,air/upper,,Upper level pressure, temperature, humidity and wind (Part D),FM 35 (TEMP)/FM 36 (TEMP SHIP)/FM 38 (TEMP MOBIL)
U,F,air/upper,,Upper level pressure, temperature, humidity and wind (Parts C and D) [National and bilateral option],FM 35 (TEMP)/FM 36 (TEMP SHIP)/FM 38 (TEMP MOBIL)
U,G,air/wind,,Upper wind (Part B),FM 32 (PILOT)/FM 33(PILOT SHIP)/FM 34(PILOT MOBIL)
U,H,air/wind,,Upper wind (Part C),FM 32 (PILOT)/FM 33 (PILOT SHIP)/FM 34 (PILOT MOBIL)
U,I,air/upper/wind,,Upper wind (Parts A and B) [National and bilateral option],FM 32(PILOT)/FM 33(PILOT SHIP)/FM 34 (PILOT MOBIL)
U,K,air/upper,,Upper level pressure, temperature, humidity and wind (Part B),FM 35 (TEMP)/FM 36 (TEMP SHIP)/FM 38 (TEMP MOBIL)
U,L,air/upper,,Upper level pressure, temperature, humidity and wind (Part C),FM 35 (TEMP)/FM 36 (TEMP SHIP)/FM 38 (TEMP MOBIL)
U,M,air/upper,,Upper level pressure, temperature, humidity and wind (Parts A and B) [National and bilateral option],FM 35 (TEMP)/FM 36 (TEMP SHIP)/FM 38 (TEMP MOBIL)
U,N,air/upper,,Rocketsonde reports,FM 39(ROCOB)/FM 40 (ROCOB SHIP)
U,P,air/upper/wind,,Upper wind (Part A),FM 32 (PILOT)/FM 33 (PILOT SHIP)/FM 34 (PILOT MOBIL)
U,Q,air/upper/wind,,Upper wind (Part D),FM 32(PILOT)/FM 33 (PILOT SHIP)/FM 34 (PILOT MOBIL)
U,R,air/upper/aircraft,,Aircraft report,[NATIONAL**] (RECCO)
U,S,air/upper,,Upper level pressure, temperature, humidity and wind (Part A),FM 35 (TEMP)/FM 36 (TEMP SHIP)FM 38 (TEMP MOBIL)
U,T,air/upper/aircraft,,Aircraft report,FM 41 (CODAR)
U,X,air/upper,,Miscellaneous,[TEXT]
U,Y,air/upper,,Upper wind (Parts C and D) [National and bilateral option],FM 32 (PILOT)/FM 33 (PILOT SHIP)/FM 34 (PILOT MOBIL)
U,Z,air/upper,,Upper level pressure, temperature, humidity and wind from a sonde released by carrier balloon or aircraft (Parts A, B, C, D),FM 37 (TEMP DROP)
W,A,alert/air/navigation,,AIRMET,[TEXT]
W,C,alert/air/navigation/cyclone,,Tropical cyclone (SIGMET),[TEXT]
W,E,alert/tsunami,,Tsunami,[TEXT]
W,F,alert/tornado,,Tornado,[TEXT]
W,G,alert/water/flood,,Hydrological/River flood,[TEXT]
W,H,alert/sea/flood,,Marine/Coastal flood,[TEXT]
W,O,alert,,Other,[TEXT]
W,S,air/navigation/,,SIGMET,[TEXT]
W,T,surface/storms/cyclone,,Tropical cyclone (Typhoon/Hurricane),[TEXT]
W,U,surface/storms/thunder,,Severe thunderstorm,[TEXT]
W,V,air/navigation/clouds/ash,,Volcanic ash clouds (SIGMET),[TEXT]
W,W,alerts,,Warnings and weather summary,[TEXT]
